Csapat neve	Úszás	Depó1	Kerékpár	Depó2	Futás
Bróker Brothers	0:33:12	0:34:52	3:55:04	3:56:09	6:03:57
Cél Acél	0:46:12	0:50:40	4:03:15	4:04:03	6:03:41
Csavar Go	0:31:05	0:33:10	4:21:04	4:21:47	6:26:18
Cserép Veréb	0:36:07	0:37:40	3:34:51	3:35:27	5:22:41
Fini Serkék	0:43:35	0:45:11	3:52:54	3:53:39	5:41:47
Harcos Arcok	0:40:07	0:44:24	3:53:22	3:54:10	5:40:03
Kicsit én is	0:28:21	0:29:53	2:44:57	2:45:23	4:14:34
Küzd Elem	0:30:58	0:32:30	3:12:59	3:13:43	4:52:25
Minden Baja	0:28:50	0:31:49	3:31:22	3:34:26	5:12:00
Mindhal Állig	0:33:20	0:34:59	3:44:50	3:45:40	5:09:26
Sebe Sültek	0:40:30	0:42:16	3:35:54	3:36:38	5:18:30
Sebes Ebes	0:33:15	0:35:16	4:27:13	4:27:58	6:32:37
Tatu Team	0:38:42	0:41:09	4:14:31	4:27:58	6:32:37
Tündérek	0:33:48	0:35:43	3:48:25	3:49:03	5:34:40
Úszómászók	0:57:11	0:59:14	4:41:57	4:42:37	7:10:51
UtánFutók	0:28:24	0:29:41	3:53:01	3:53:45	5:33:36
Zirci Mircik	0:32:56	0:34:40	3:08:09	3:08:59	4:51:11
